INFO 2026-02-16 17:36:51,381 log 17200 9464 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 558
INFO 2026-02-16 17:37:32,847 autoreload 17200 6568 E:\chatting_app\chat\account\models.py changed, reloading.
INFO 2026-02-16 17:37:35,234 autoreload 1600 9644 Watching for file changes with StatReloader
INFO 2026-02-16 17:37:36,379 log 1600 7420 "GET /admin/account/user/ HTTP/1.1" 200 16281
INFO 2026-02-16 17:37:36,480 log 1600 7420 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 17:37:48,508 log 1600 7420 "GET /admin/account/user/ HTTP/1.1" 200 16281
INFO 2026-02-16 17:37:48,711 log 1600 7420 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:02:34,626 log 1600 4856 "GET /admin/account/user/ HTTP/1.1" 200 16281
INFO 2026-02-16 19:02:34,721 log 1600 4856 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:34:55,080 autoreload 19408 10388 Watching for file changes with StatReloader
INFO 2026-02-16 19:35:49,197 autoreload 19408 10388 E:\chatting_app\chat\chat\settings.py changed, reloading.
INFO 2026-02-16 19:35:51,584 autoreload 17456 15948 Watching for file changes with StatReloader
INFO 2026-02-16 19:36:10,078 autoreload 17456 15948 E:\chatting_app\chat\chat\settings.py changed, reloading.
INFO 2026-02-16 19:36:12,482 autoreload 12908 14244 Watching for file changes with StatReloader
INFO 2026-02-16 19:38:05,285 autoreload 12908 14244 E:\chatting_app\chat\security\admin.py changed, reloading.
INFO 2026-02-16 19:38:07,857 autoreload 15144 15536 Watching for file changes with StatReloader
INFO 2026-02-16 19:38:10,479 log 15144 18744 "GET /admin/account/user/ HTTP/1.1" 200 18658
INFO 2026-02-16 19:38:10,564 log 15144 18744 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:38:14,088 log 15144 18744 "GET /admin/account/user/ HTTP/1.1" 200 18658
INFO 2026-02-16 19:38:14,280 log 15144 18744 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:38:26,458 log 15144 18744 "GET /admin/django_celery_results/taskresult/ HTTP/1.1" 200 19800
INFO 2026-02-16 19:38:26,563 log 15144 18744 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:38:26,577 log 15144 18076 "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2026-02-16 19:38:26,593 log 15144 18076 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-02-16 19:38:29,255 log 15144 18076 "GET /admin/django_celery_results/taskresult/add/ HTTP/1.1" 200 29197
INFO 2026-02-16 19:38:29,347 log 15144 18076 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:38:39,573 log 15144 18076 "GET /admin/django_celery_beat/crontabschedule/ HTTP/1.1" 200 17383
INFO 2026-02-16 19:38:39,664 log 15144 18076 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:38:42,533 log 15144 18076 "GET /admin/django_celery_beat/crontabschedule/add/ HTTP/1.1" 200 61313
